time,SPE号,适配层/百分比例,VPI/VCI,比例
20121210,ATM1,AAL1,0000:01F3,"数量:2755158016字节"
20121210,ATM1,AAL1,0000:01FF,"数量:479262720字节"
20121210,ATM1,AAL1,0000:0200,"数量:493624320字节"
20121210,ATM1,AAL1,0000:020D,"数量:491919360字节"
20121210,ATM1,AAL1,0000:020E,"数量:479225856字节"
20121210,ATM1,AAL1,0000:0211,"数量:479241216字节"
20121210,ATM1,AAL1,0000:0218,"数量:479228928字节"
20121210,ATM1,AAL1,0000:021C,"数量:479241216字节"
20121210,ATM1,AAL1,0000:021D,"数量:479235072字节"
20121210,ATM1,AAL1,0000:021E,"数量:492309504字节"
20121210,ATM1,AAL1,0000:0221,"数量:492469248字节"
20121210,ATM1,AAL1,0000:0228,"数量:479216640字节"
20121210,ATM1,AAL1,0000:0229,"数量:479192064字节"
20121210,ATM1,AAL1,0000:022A,"数量:478903296字节"
20121210,ATM1,AAL1,0000:022B,"数量:492168192字节"
20121210,ATM1,AAL1,0000:022C,"数量:479256576字节"
20121210,ATM1,AAL1,0000:022D,"数量:479155200字节"
20121210,ATM1,AAL1,0000:022E,"数量:492420096字节"
20121210,ATM1,AAL1,0000:022F,"数量:479050752字节"
20121210,ATM1,AAL1,0000:0230,"数量:479142912字节"
20121210,ATM1,AAL1,0000:0231,"数量:479216640字节"
20121210,ATM1,AAL1,0000:0232,"数量:479210496字节"
20121210,ATM1,AAL1,0000:0233,"数量:478774272字节"
20121210,ATM1,AAL1,0000:0234,"数量:479253504字节"
20121210,ATM1,AAL1,0000:0235,"数量:492005376字节"
20121210,ATM1,AAL1,0000:4C7C,"数量:2662414336字节"
20121210,ATM1,AAL2,0000:002F;CID编号:11,"数量:67583780字节"
20121210,ATM1,AAL2,0000:004C;CID编号:11,"数量:67582614字节"
20121210,ATM1,AAL2,0000:01F0;CID编号:11,"数量:67577284字节"
20121210,ATM1,AAL2,0000:01F1;CID编号:11,"数量:67610000字节"
20121210,ATM1,AAL2,0000:01F2;CID编号:11,"数量:67612708字节"
20121210,ATM1,AAL2,0000:01F4;CID编号:11,"数量:67573880字节"
20121210,ATM1,AAL2,0000:01F7;CID编号:11,"数量:67565936字节"
20121210,ATM1,AAL2,0000:01F8;CID编号:11,"数量:67588538字节"
20121210,ATM1,AAL2,0000:01FE;CID编号:11,"数量:67568738字节"
20121210,ATM1,AAL2,0000:0237;CID编号:11,"数量:436196920字节"
20121210,ATM1,AAL2,0000:0237;CID编号:12,"数量:436537796字节"
20121210,ATM1,AAL2,0000:0237;CID编号:13,"数量:436644492字节"
20121210,ATM1,AAL2,0000:0237;CID编号:14,"数量:436622952字节"
20121210,ATM1,AAL2,0000:0237;CID编号:15,"数量:436916904字节"
20121210,ATM1,AAL2,0000:0237;CID编号:16,"数量:436898892字节"
20121210,ATM1,AAL2,0000:0237;CID编号:17,"数量:436824376字节"
20121210,ATM1,AAL2,0000:0237;CID编号:18,"数量:436801104字节"
20121210,ATM1,AAL2,0000:0237;CID编号:19,"数量:436890980字节"
20121210,ATM1,AAL2,0000:0237;CID编号:20,"数量:436790768字节"
20121210,ATM1,AAL2,0000:0237;CID编号:21,"数量:436895272字节"
20121210,ATM1,AAL2,0000:0237;CID编号:22,"数量:436843580字节"
20121210,ATM1,AAL2,0000:0237;CID编号:23,"数量:436814980字节"
20121210,ATM1,AAL2,0000:0237;CID编号:24,"数量:436932200字节"
20121210,ATM1,AAL2,0000:0237;CID编号:25,"数量:436924028字节"
20121210,ATM1,AAL2,0000:0237;CID编号:26,"数量:436904912字节"
20121210,ATM1,AAL2,0000:0237;CID编号:27,"数量:437036832字节"
20121210,ATM1,AAL2,0000:0237;CID编号:28,"数量:437142724字节"
20121210,ATM1,AAL2,0000:0237;CID编号:29,"数量:437243248字节"
20121210,ATM1,AAL2,0000:0237;CID编号:30,"数量:437200052字节"
20121210,ATM1,AAL2,0000:0237;CID编号:31,"数量:437186796字节"
20121210,ATM1,AAL2,0000:0237;CID编号:32,"数量:436046312字节"
20121210,ATM1,AAL2,0000:0237;CID编号:33,"数量:435900512字节"
20121210,ATM1,AAL2,0000:0237;CID编号:34,"数量:436006132字节"
20121210,ATM1,AAL2,0000:0238;CID编号:11,"数量:428407740字节"
20121210,ATM1,AAL2,0000:0239;CID编号:11,"数量:67581166字节"
20121210,ATM1,AAL2,0000:023A;CID编号:11,"数量:67539222字节"
20121210,ATM1,AAL2,0000:023B;CID编号:11,"数量:67545956字节"
20121210,ATM1,AAL2,0000:023C;CID编号:11,"数量:67590462字节"
20121210,ATM1,AAL2,0000:023D;CID编号:11,"数量:67527856字节"
20121210,ATM1,AAL2,0000:023E;CID编号:11,"数量:67591482字节"
20121210,ATM1,AAL2,0000:06CC;CID编号:11,"数量:67574878字节"
20121210,ATM1,AAL2,0000:0709;CID编号:11,"数量:428592460字节"
20121210,ATM1,AAL2,0000:0710;CID编号:11,"数量:67551462字节"
20121210,ATM1,AAL2,0000:0711;CID编号:11,"数量:428127072字节"
20121210,ATM1,AAL2,0000:09CE;CID编号:11,"数量:67576772字节"
