fileName,attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr50,attr51,attr52,attr53,attr54,attr55,attr56,attr57,attr58,attr59,attr60,attr61,attr62,attr63,attr64,attr65,attr66,attr67,attr68,attr69,attr70,attr71,attr72,attr73,attr74,attr75,attr76,attr77,attr78,attr79,attr80,attr81,attr82,attr83,attr84,attr85,attr86,attr87,attr88,attr89,attr90,attr91,attr92,attr93,attr94,attr95,attr96,attr97,attr98,attr99,attr100,attr101,attr102,attr103,attr104,attr105,attr106,attr107,attr108,attr109,attr110,attr111,attr112,attr113,attr114,attr115,attr116,attr117,attr118,attr119,attr120,attr121,attr122,attr123,attr124,attr125,attr126
20101029-R05-73XX.csv,0,703,670,940,677,801,131,952,405,64,4,677,789,588,131,597,817,133,1161,576,572,571,360,405,64,746,968,767,576,133,597,576,21,193,683,562,598,704,87,927,78,64,64,13,12,12,13,516,536,586,590,594,581,601,615,572,588,670,580,693,753,576,771,767,521,753,519,747,888,360,886,442,875,360,868,383,777,817,0,0,4,21,944,23,952,28,940,193,801,130,789,130,812,382,387,610,597,132,838,132,842,132,844,131,844,405,132,826,399,133,826,399,133,840,133,619,1008,584,1072,584,1224,584,1238,584,1216,584,1208
20101119-R05-72XX.csv,703,0,661,931,668,792,610,943,392,709,703,668,780,579,610,588,808,610,1152,663,563,662,353,392,709,737,959,758,585,610,588,663,702,520,674,555,589,1,712,918,707,709,709,710,711,711,710,507,527,577,581,585,572,592,606,563,579,661,589,684,744,585,762,758,574,744,572,738,879,353,877,443,866,353,859,404,768,808,703,703,703,702,935,700,943,695,931,520,792,609,780,611,803,373,378,597,588,611,829,611,833,611,835,610,835,392,609,817,386,610,817,386,610,831,610,728,999,687,1063,685,1215,685,1229,685,1207,685,1199
20101119-R05-73XX.csv,670,661,0,864,613,729,577,876,357,676,670,613,717,438,577,533,677,577,1077,628,432,627,310,357,676,480,876,381,550,577,533,628,669,485,619,520,536,662,679,847,674,676,676,677,678,678,677,390,410,448,452,452,441,461,471,432,438,0,554,103,371,550,377,381,539,423,537,479,620,316,704,408,693,310,686,361,651,677,670,670,670,669,868,667,876,662,864,485,729,576,717,578,740,320,325,568,533,578,766,578,770,578,772,577,772,357,576,754,351,577,754,351,577,764,577,693,916,652,988,650,1140,650,1154,650,1132,650,1124
20101209-R05-72XX.csv,940,931,864,0,873,673,847,32,627,946,940,873,685,750,847,707,1015,847,1359,898,746,897,580,627,946,940,1120,961,820,847,707,898,939,755,879,790,806,932,949,817,944,946,946,947,948,948,947,702,698,736,732,740,739,751,769,746,750,864,824,883,951,820,969,961,809,951,807,941,1078,586,1088,678,1077,580,1070,631,983,1015,940,940,940,939,32,937,32,932,0,755,673,846,685,848,784,590,595,838,707,848,810,848,810,848,812,847,812,627,846,802,621,847,802,621,847,816,847,963,1160,922,1270,920,1422,920,1436,920,1414,920,1406
20101210-R05-72XX.csv,677,668,613,873,0,744,584,885,364,683,677,0,732,531,584,540,760,584,1104,635,515,634,317,364,683,689,763,710,557,584,540,635,676,492,6,527,543,669,686,852,681,683,683,684,685,685,684,459,479,529,533,537,524,544,558,515,531,613,561,636,696,557,714,710,546,696,544,690,831,323,829,415,818,317,811,368,720,760,677,677,677,676,877,674,885,669,873,492,744,583,732,585,755,295,332,575,540,585,781,585,785,585,787,584,787,364,583,769,358,584,769,358,584,783,584,700,797,659,1015,657,1167,657,1181,657,1159,657,1151
20101210-R05-73XX.csv,801,792,729,673,744,0,708,685,488,807,801,744,12,607,708,256,820,708,1208,759,603,758,441,488,807,801,1023,822,681,708,256,759,800,616,750,651,667,793,810,870,805,807,807,808,809,809,808,579,575,621,617,613,596,584,630,603,607,729,685,748,812,681,830,822,670,812,668,802,939,447,949,539,938,441,931,492,844,820,801,801,801,800,677,798,685,793,673,616,0,707,12,709,151,451,456,699,256,709,165,709,169,709,171,708,171,488,707,173,482,708,173,482,708,573,708,824,1063,783,1115,781,1267,781,1281,781,1259,781,1251
20101211-R05-72XX.csv,131,610,577,847,584,708,0,859,312,189,131,584,696,495,0,504,724,22,1068,483,479,478,267,312,189,653,875,674,483,22,504,483,130,94,590,469,505,611,192,834,187,189,189,138,139,139,138,423,443,493,497,501,488,508,522,479,495,577,487,600,660,483,678,674,428,660,426,654,795,267,793,349,782,267,775,290,684,724,131,131,131,130,851,128,859,125,847,94,708,23,696,23,719,289,294,517,504,17,745,17,749,17,751,0,751,312,21,733,306,22,733,306,22,747,22,526,915,491,979,491,1131,491,1145,491,1123,491,1115
20101211-R05-73XX.csv,952,943,876,32,885,685,859,0,639,958,952,885,697,762,859,719,1027,859,1379,910,758,909,592,639,958,948,1132,973,832,859,719,910,951,767,891,802,818,944,961,821,956,958,958,959,960,960,959,714,706,748,744,752,751,763,781,758,762,876,836,895,963,832,981,973,821,963,819,949,1090,598,1100,690,1089,592,1082,643,995,1027,952,952,952,951,8,949,0,944,32,767,685,858,697,860,796,602,607,850,719,860,818,860,818,860,820,859,820,639,858,814,633,859,814,633,859,824,859,975,1172,934,1290,932,1442,932,1456,932,1434,932,1426
20101212-R05-72XX.csv,405,392,357,627,364,488,312,639,0,411,405,364,476,275,312,284,504,312,848,363,259,362,53,0,411,433,655,454,285,312,284,363,404,222,370,257,285,393,414,614,409,411,411,412,413,413,412,203,223,273,277,281,268,288,302,259,275,357,289,380,440,285,458,454,274,440,272,434,575,53,573,143,562,53,555,104,464,504,405,405,405,404,631,402,639,397,627,222,488,311,476,313,499,69,74,211,284,313,525,313,529,313,531,312,531,0,311,513,6,312,513,6,312,527,312,428,695,387,759,385,911,385,925,385,903,385,895
20101212-R05-73XX.csv,64,709,676,946,683,807,189,958,411,0,68,683,795,594,189,603,823,189,1167,582,578,577,366,411,0,752,974,773,582,189,603,582,79,249,689,568,604,710,81,933,64,0,0,51,52,52,51,522,542,592,596,600,587,607,621,578,594,676,586,699,759,582,777,773,527,759,525,753,894,366,892,448,881,366,874,389,783,823,64,64,68,79,950,81,958,84,946,249,807,186,795,188,818,388,393,616,603,190,844,190,848,190,850,189,850,411,188,832,405,189,832,405,189,846,189,627,1014,592,1078,590,1230,590,1244,590,1222,590,1214
20101213-R05-72XX.csv,4,703,670,940,677,801,131,952,405,68,0,677,789,588,131,597,817,133,1161,576,572,571,360,405,68,746,968,767,576,133,597,576,17,193,683,562,598,704,87,927,82,68,68,17,16,16,17,516,536,586,590,594,581,601,615,572,588,670,580,693,753,576,771,767,521,753,519,747,888,360,886,442,875,360,868,383,777,817,4,4,0,17,944,19,952,24,940,193,801,130,789,130,812,382,387,610,597,132,838,132,842,132,844,131,844,405,132,826,399,133,826,399,133,840,133,619,1008,584,1072,584,1224,584,1238,584,1216,584,1208
20101214-R05-73XX.csv,677,668,613,873,0,744,584,885,364,683,677,0,732,531,584,540,760,584,1104,635,515,634,317,364,683,689,763,710,557,584,540,635,676,492,6,527,543,669,686,852,681,683,683,684,685,685,684,459,479,529,533,537,524,544,558,515,531,613,561,636,696,557,714,710,546,696,544,690,831,323,829,415,818,317,811,368,720,760,677,677,677,676,877,674,885,669,873,492,744,583,732,585,755,295,332,575,540,585,781,585,785,585,787,584,787,364,583,769,358,584,769,358,584,783,584,700,797,659,1015,657,1167,657,1181,657,1159,657,1151
20101220-R05-72XX.csv,789,780,717,685,732,12,696,697,476,795,789,732,0,595,696,244,808,696,1196,747,591,746,429,476,795,789,1011,810,669,696,244,747,788,604,738,639,655,781,798,858,793,795,795,796,797,797,796,567,563,609,605,601,584,572,618,591,595,717,673,736,800,669,818,810,658,800,656,790,927,435,937,527,926,429,919,480,832,808,789,789,789,788,689,786,697,781,685,604,12,695,0,697,139,439,444,687,244,697,153,697,157,697,159,696,159,476,695,161,470,696,161,470,696,561,696,812,1051,771,1103,769,1255,769,1269,769,1247,769,1239
20101220-R05-73XX.csv,588,579,438,750,531,607,495,762,275,594,588,531,595,0,495,447,655,495,1007,546,90,545,228,275,594,532,818,551,468,495,447,546,587,403,537,438,454,580,597,757,592,594,594,595,596,596,595,220,224,188,192,196,161,173,171,90,0,438,472,457,541,468,555,551,457,541,455,531,672,234,688,326,677,228,670,279,615,655,588,588,588,587,754,585,762,580,750,403,607,494,595,496,610,238,243,486,447,496,632,496,636,496,638,495,638,275,494,600,269,495,600,269,495,616,495,611,858,570,918,568,1070,568,1084,568,1062,568,1054
20101221-R05-72XX.csv,131,610,577,847,584,708,0,859,312,189,131,584,696,495,0,504,724,22,1068,483,479,478,267,312,189,653,875,674,483,22,504,483,130,94,590,469,505,611,192,834,187,189,189,138,139,139,138,423,443,493,497,501,488,508,522,479,495,577,487,600,660,483,678,674,428,660,426,654,795,267,793,349,782,267,775,290,684,724,131,131,131,130,851,128,859,125,847,94,708,23,696,23,719,289,294,517,504,17,745,17,749,17,751,0,751,312,21,733,306,22,733,306,22,747,22,526,915,491,979,491,1131,491,1145,491,1123,491,1115
20101221-R05-73XX.csv,597,588,533,707,540,256,504,719,284,603,597,540,244,447,504,0,668,504,1016,555,431,554,237,284,603,609,827,630,477,504,0,555,596,412,546,447,463,589,606,720,601,603,603,604,605,605,604,379,395,449,449,449,436,444,458,431,447,533,481,556,616,477,634,630,466,616,464,610,751,243,749,335,738,237,731,288,640,668,597,597,597,596,711,594,719,589,707,412,256,503,244,505,215,247,252,495,0,505,241,505,245,505,247,504,247,284,503,233,278,504,233,278,504,529,504,620,867,579,927,577,1079,577,1093,577,1071,577,1063
20101222-R02-79XX.csv,817,808,677,1015,760,820,724,1027,504,823,817,760,808,655,724,668,0,724,1188,775,639,774,457,504,823,805,1019,830,697,724,668,775,816,632,766,667,679,809,826,1010,821,823,823,824,825,825,824,595,615,661,669,673,644,660,682,639,655,677,701,700,820,697,834,830,686,812,684,806,947,463,953,555,938,457,935,508,852,0,817,817,817,816,1019,814,1027,809,1015,632,820,723,808,725,819,467,472,715,668,725,829,725,833,725,835,724,835,504,723,833,498,724,833,498,724,795,724,840,1055,799,1087,797,1243,797,1253,797,1235,797,1231
20101222-R05-72XX.csv,133,610,577,847,584,708,22,859,312,189,133,584,696,495,22,504,724,0,1068,483,479,478,267,312,189,653,875,674,483,0,504,483,132,94,590,469,505,611,192,834,187,189,189,140,141,141,140,423,443,493,497,501,488,508,522,479,495,577,487,600,660,483,678,674,428,660,426,654,795,267,793,349,782,267,775,290,684,724,133,133,133,132,851,130,859,125,847,94,708,23,696,23,719,289,294,517,504,21,745,21,749,21,751,22,751,312,1,733,306,0,733,306,0,747,0,528,915,493,979,491,1131,491,1145,491,1123,491,1115
20101222-R05-73XX.csv,1161,1152,1077,1359,1104,1208,1068,1379,848,1167,1161,1104,1196,1007,1068,1016,1188,1068,0,1119,991,1118,801,848,1167,1165,1371,1190,1041,1068,1016,1119,1160,976,1110,1011,1023,1153,1170,1354,1165,1167,1167,1168,1169,1169,1168,943,963,1001,1005,1009,992,1012,1026,991,1007,1077,1045,1108,1176,1041,1194,1190,1030,1176,1028,1166,1303,807,1293,899,1254,801,1251,852,1136,1188,1161,1161,1161,1160,1371,1158,1379,1153,1359,976,1208,1067,1196,1069,1219,811,816,1059,1016,1069,1245,1069,1249,1069,1251,1068,1251,848,1067,1233,842,1068,1233,842,1068,1203,1068,1184,1411,1143,211,1141,73,1141,83,1141,55,1141,117
20101223-R02-79XX.csv,576,663,628,898,635,759,483,910,363,582,576,635,747,546,483,555,775,483,1119,0,530,61,318,363,582,704,926,725,542,483,555,0,575,467,641,522,556,664,585,885,580,582,582,583,584,584,583,474,494,544,548,552,539,559,573,530,546,628,546,651,711,542,729,725,505,711,503,705,846,318,844,406,833,318,826,347,735,775,576,576,576,575,902,573,910,568,898,467,759,482,747,484,770,340,345,570,555,484,796,484,800,484,802,483,802,363,482,784,357,483,784,357,483,798,483,583,966,44,1030,42,1182,38,1196,22,1174,26,1166
20101223-R05-72XX.csv,572,563,432,746,515,603,479,758,259,578,572,515,591,90,479,431,639,479,991,530,0,529,212,259,578,530,806,549,452,479,431,530,571,387,521,422,438,564,581,745,576,578,578,579,580,580,579,210,218,186,190,194,159,179,169,0,90,432,456,455,535,452,553,549,441,535,439,529,670,218,678,310,667,212,660,263,601,639,572,572,572,571,750,569,758,564,746,387,603,478,591,480,606,222,227,470,431,480,628,480,632,480,634,479,634,259,478,600,253,479,600,253,479,570,479,595,846,554,902,552,1054,552,1068,552,1046,552,1038
20101223-R05-73XX.csv,571,662,627,897,634,758,478,909,362,577,571,634,746,545,478,554,774,478,1118,61,529,0,319,362,577,703,925,724,537,478,554,61,570,460,640,521,555,663,580,884,575,577,577,578,579,579,578,473,493,543,547,551,538,558,572,529,545,627,541,650,710,537,728,724,504,710,502,704,845,319,843,405,832,319,825,346,734,774,571,571,571,570,901,568,909,563,897,460,758,477,746,479,769,339,344,569,554,479,795,479,799,479,801,478,801,362,477,783,356,478,783,356,478,797,478,582,965,41,1029,23,1181,27,1195,39,1173,39,1165
20101224-R05-72XX.csv,360,353,310,580,317,441,267,592,53,366,360,317,429,228,267,237,457,267,801,318,212,319,0,53,366,386,608,407,242,267,237,318,359,177,323,212,238,354,369,567,364,366,366,367,368,368,367,156,176,226,230,234,221,241,255,212,228,310,246,333,393,242,411,407,229,393,227,387,528,6,526,98,515,0,508,51,417,457,360,360,360,359,584,357,592,352,580,177,441,266,429,268,452,22,27,260,237,268,478,268,482,268,484,267,484,53,266,466,47,267,466,47,267,480,267,383,648,342,712,340,864,340,878,340,856,340,848
20101224-R05-73XX.csv,405,392,357,627,364,488,312,639,0,411,405,364,476,275,312,284,504,312,848,363,259,362,53,0,411,433,655,454,285,312,284,363,404,222,370,257,285,393,414,614,409,411,411,412,413,413,412,203,223,273,277,281,268,288,302,259,275,357,289,380,440,285,458,454,274,440,272,434,575,53,573,143,562,53,555,104,464,504,405,405,405,404,631,402,639,397,627,222,488,311,476,313,499,69,74,211,284,313,525,313,529,313,531,312,531,0,311,513,6,312,513,6,312,527,312,428,695,387,759,385,911,385,925,385,903,385,895
20101225-R05-72XX.csv,64,709,676,946,683,807,189,958,411,0,68,683,795,594,189,603,823,189,1167,582,578,577,366,411,0,752,974,773,582,189,603,582,79,249,689,568,604,710,81,933,64,0,0,51,52,52,51,522,542,592,596,600,587,607,621,578,594,676,586,699,759,582,777,773,527,759,525,753,894,366,892,448,881,366,874,389,783,823,64,64,68,79,950,81,958,84,946,249,807,186,795,188,818,388,393,616,603,190,844,190,848,190,850,189,850,411,188,832,405,189,832,405,189,846,189,627,1014,592,1078,590,1230,590,1244,590,1222,590,1214
20101225-R05-73XX.csv,746,737,480,940,689,801,653,948,433,752,746,689,789,532,653,609,805,653,1165,704,530,703,386,433,752,0,940,127,626,653,609,704,745,561,695,596,612,738,755,923,750,752,752,753,754,754,753,472,492,538,534,534,531,547,557,530,532,480,630,481,137,626,139,127,615,89,613,1,218,392,730,484,715,386,712,437,721,805,746,746,746,745,940,743,948,738,940,561,801,652,789,654,812,396,401,644,609,654,838,654,842,654,844,653,844,433,652,826,427,653,826,427,653,840,653,769,980,728,1072,726,1228,726,1242,726,1220,726,1212
20101226-R02-79XX.csv,968,959,876,1120,763,1023,875,1132,655,974,968,763,1011,818,875,827,1019,875,1371,926,806,925,608,655,974,940,0,961,848,875,827,926,967,783,767,818,834,960,977,1059,972,974,974,975,976,976,975,718,738,808,808,812,811,827,833,806,818,876,852,887,951,848,961,961,837,947,835,941,1082,614,1084,706,1081,608,1074,659,999,1019,968,968,968,967,1124,965,1132,960,1120,783,1023,874,1011,876,1034,614,623,866,827,876,1060,876,1064,876,1066,875,1066,655,874,1048,649,875,1048,649,875,1026,875,991,40,950,1282,948,1434,948,1448,948,1426,948,1418
