fileName,attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr50,attr51,attr52,attr53,attr54,attr55,attr56,attr57,attr58,attr59,attr60,attr61,attr62,attr63,attr64,attr65,attr66,attr67,attr68,attr69,attr70,attr71,attr72,attr73,attr74,attr75,attr76,attr77,attr78,attr79,attr80,attr81,attr82,attr83,attr84,attr85,attr86,attr87,attr88,attr89,attr90,attr91,attr92,attr93,attr94,attr95,attr96,attr97,attr98,attr99,attr100,attr101,attr102,attr103,attr104,attr105,attr106,attr107,attr108,attr109,attr110,attr111,attr112,attr113,attr114,attr115,attr116,attr117,attr118,attr119,attr120,attr121,attr122,attr123,attr124,attr125,attr126
20101029-R05-73XX.csv,364,8,1,1,1,1,252,1,5,335,362,1,1,1,252,1,1,251,1,55,1,57,4,5,335,1,1,1,16,251,1,55,353,175,1,8,1,8,325,1,327,335,335,361,362,362,361,1,1,1,1,1,1,1,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,7,1,12,1,4,1,18,1,1,364,364,362,353,1,351,1,346,1,175,1,252,1,253,1,1,1,8,1,252,1,252,1,252,1,252,1,5,251,1,5,251,1,5,251,1,251,66,1,63,1,62,1,62,1,62,1,62,1
20101119-R05-72XX.csv,8,355,1,1,1,1,8,1,7,8,8,1,1,1,8,1,1,8,1,7,1,7,3,7,8,1,1,1,7,8,1,7,8,7,1,7,1,355,8,1,8,8,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1,7,1,1,7,1,1,7,1,7,1,1,6,1,7,1,3,1,3,1,1,8,8,8,8,1,8,1,8,1,7,1,8,1,8,1,1,1,10,1,8,1,8,1,8,1,8,1,7,8,1,7,8,1,7,8,1,8,7,1,7,1,7,1,7,1,7,1,7,1
20101119-R05-73XX.csv,1,1,308,11,5,9,1,11,1,1,1,5,9,48,1,5,43,1,15,1,43,1,1,1,1,106,19,166,1,1,5,1,1,1,5,1,4,1,1,13,1,1,1,1,1,1,1,36,36,42,42,44,43,43,45,43,48,308,1,268,164,1,170,166,1,138,1,107,107,1,64,1,64,1,64,1,36,43,1,1,1,1,11,1,11,1,11,1,9,1,9,1,9,4,4,1,5,1,9,1,9,1,9,1,9,1,1,9,1,1,9,1,1,11,1,1,19,1,15,1,15,1,15,1,15,1,15
20101209-R05-72XX.csv,1,1,11,578,10,172,1,568,1,1,1,10,160,27,1,53,9,1,9,1,21,1,1,1,1,11,32,11,1,1,53,1,1,1,10,1,4,1,1,163,1,1,1,1,1,1,1,15,27,33,37,35,29,33,31,21,27,11,1,13,9,1,9,11,1,9,1,11,13,1,7,1,7,1,7,1,5,9,1,1,1,1,564,1,568,1,578,1,172,1,160,1,122,4,4,1,53,1,122,1,124,1,124,1,124,1,1,120,1,1,120,1,1,120,1,1,32,1,9,1,9,1,9,1,9,1,9
20101210-R05-72XX.csv,1,1,5,10,315,5,1,10,1,1,1,315,5,5,1,5,5,1,5,1,5,1,1,1,1,5,79,5,1,1,5,1,1,1,315,1,4,1,1,14,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,1,5,1,5,5,1,5,1,5,1,5,1,5,5,1,1,1,1,10,1,10,1,10,1,5,1,5,1,5,20,4,1,5,1,5,1,5,1,5,1,5,1,1,5,1,1,5,1,1,5,1,1,82,1,5,1,5,1,5,1,5,1,5
20101210-R05-73XX.csv,1,1,9,172,5,439,1,172,1,1,1,5,427,29,1,209,37,1,15,1,23,1,1,1,1,11,11,11,1,1,209,1,1,1,5,1,4,1,1,67,1,1,1,1,1,1,1,7,19,21,25,29,31,47,31,23,29,9,1,11,9,1,9,11,1,9,1,11,13,1,7,1,7,1,7,1,5,37,1,1,1,1,172,1,172,1,172,1,439,1,427,1,369,4,4,1,209,1,375,1,375,1,375,1,375,1,1,365,1,1,365,1,1,172,1,1,11,1,17,1,17,1,17,1,17,1,17
20101211-R05-72XX.csv,252,8,1,1,1,1,271,1,5,226,252,1,1,1,271,1,1,260,1,55,1,57,4,5,226,1,1,1,16,260,1,55,252,178,1,8,1,8,226,1,226,226,226,252,252,252,252,1,1,1,1,1,1,1,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,7,1,12,1,4,1,18,1,1,252,252,252,252,1,252,1,251,1,178,1,259,1,260,1,1,1,8,1,263,1,263,1,263,1,271,1,5,260,1,5,260,1,5,260,1,260,66,1,63,1,62,1,62,1,62,1,62,1
20101211-R05-73XX.csv,1,1,11,568,10,172,1,590,1,1,1,10,160,27,1,53,9,1,5,1,21,1,1,1,1,13,32,11,1,1,53,1,1,1,10,1,4,1,1,167,1,1,1,1,1,1,1,15,29,33,37,35,29,33,31,21,27,11,1,13,9,1,9,11,1,9,1,13,13,1,7,1,7,1,7,1,5,9,1,1,1,1,582,1,590,1,568,1,172,1,160,1,122,4,4,1,53,1,124,1,126,1,126,1,126,1,1,120,1,1,120,1,1,122,1,1,32,1,5,1,5,1,5,1,5,1,5
20101212-R05-72XX.csv,5,7,1,1,1,1,5,1,51,5,5,1,1,1,5,1,1,5,1,5,1,5,1,51,5,1,1,1,5,5,1,5,5,4,1,4,1,7,5,1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,5,1,5,1,1,4,1,5,1,1,1,1,1,1,5,5,5,5,1,5,1,5,1,4,1,5,1,5,1,1,1,51,1,5,1,5,1,5,1,5,1,51,5,1,45,5,1,45,5,1,5,5,1,5,1,5,1,5,1,5,1,5,1
20101212-R05-73XX.csv,335,8,1,1,1,1,226,1,5,370,333,1,1,1,226,1,1,226,1,55,1,57,4,5,370,1,1,1,16,226,1,55,327,150,1,8,1,8,331,1,337,370,370,345,345,345,345,1,1,1,1,1,1,1,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,7,1,12,1,4,1,18,1,1,335,335,333,327,1,325,1,321,1,150,1,227,1,227,1,1,1,8,1,226,1,226,1,226,1,226,1,5,226,1,5,226,1,5,226,1,226,65,1,62,1,62,1,62,1,62,1,62,1
20101213-R05-72XX.csv,362,8,1,1,1,1,252,1,5,333,364,1,1,1,252,1,1,251,1,55,1,57,4,5,333,1,1,1,16,251,1,55,355,175,1,8,1,8,325,1,325,333,333,359,360,360,359,1,1,1,1,1,1,1,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,7,1,12,1,4,1,18,1,1,362,362,364,355,1,353,1,348,1,175,1,252,1,253,1,1,1,8,1,252,1,252,1,252,1,252,1,5,251,1,5,251,1,5,251,1,251,66,1,63,1,62,1,62,1,62,1,62,1
20101214-R05-73XX.csv,1,1,5,10,315,5,1,10,1,1,1,315,5,5,1,5,5,1,5,1,5,1,1,1,1,5,79,5,1,1,5,1,1,1,315,1,4,1,1,14,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,1,5,1,5,5,1,5,1,5,1,5,1,5,5,1,1,1,1,10,1,10,1,10,1,5,1,5,1,5,20,4,1,5,1,5,1,5,1,5,1,5,1,1,5,1,1,5,1,1,5,1,1,82,1,5,1,5,1,5,1,5,1,5
20101220-R05-72XX.csv,1,1,9,160,5,427,1,160,1,1,1,5,427,29,1,209,37,1,15,1,23,1,1,1,1,11,11,11,1,1,209,1,1,1,5,1,4,1,1,67,1,1,1,1,1,1,1,7,19,21,25,29,31,47,31,23,29,9,1,11,9,1,9,11,1,9,1,11,13,1,7,1,7,1,7,1,5,37,1,1,1,1,160,1,160,1,160,1,427,1,427,1,369,4,4,1,209,1,375,1,375,1,375,1,375,1,1,365,1,1,365,1,1,172,1,1,11,1,17,1,17,1,17,1,17,1,17
